wdid,logg,mass
2MASS J10145164+4541479,7.455,0.301
2QZ J114947.9-012045,8.497,0.907
GJ 1179 B,7.783,0.45399999999999996
Gaia DR2 1007682723024253184,7.885,0.51
Gaia DR2 1010300965150157824,8.035,0.6
Gaia DR2 1012271221268203136,7.672,0.395
Gaia DR2 1025090152458148096,7.788,0.456
Gaia DR2 1041763971415231872,7.686,0.40299999999999997
Gaia DR2 105240786245136256,7.631,0.376
Gaia DR2 1055219863435386880,7.893,0.515
Gaia DR2 1064978578888570496,7.733,0.42700000000000005
Gaia DR2 1065549087983653248,7.711,0.41600000000000004
Gaia DR2 1067421801098857728,7.137,0.19399999999999998
Gaia DR2 1081514379072280320,7.854,0.49200000000000005
Gaia DR2 1091532957227703424,7.667,0.39399999999999996
Gaia DR2 1102843766484141696,7.704,0.413
Gaia DR2 1106198926215614592,7.81,0.46799999999999997
Gaia DR2 1106815275498845440,7.657,0.39
Gaia DR2 1108133482565575808,7.853,0.49200000000000005
Gaia DR2 1116164074976366464,7.695,0.408
Gaia DR2 1117334024067935872,7.982,0.5670000000000001
Gaia DR2 1118028984136160128,7.709,0.41700000000000004
Gaia DR2 1128433254648876928,7.744,0.433
Gaia DR2 1129832000941901056,7.782,0.45399999999999996
Gaia DR2 1131045586901378560,7.863,0.498
Gaia DR2 1138270374728419840,7.864,0.49700000000000005
Gaia DR2 1166936944966743168,7.923,0.532
Gaia DR2 1183271186629536512,7.904,0.521
Gaia DR2 1199771832505966208,7.982,0.5670000000000001
Gaia DR2 1249747212968218496,7.873,0.504
Gaia DR2 1255689317402244608,7.92,0.53
Gaia DR2 1257631879571104640,7.911,0.525
Gaia DR2 1277232907719022464,8.322,0.789
Gaia DR2 1294793345366747776,7.62,0.375
Gaia DR2 1315480072526858624,8.057,0.613
Gaia DR2 1316376453675730560,7.88,0.508
Gaia DR2 1336402404413235840,7.894,0.515
Gaia DR2 1383292181587562496,7.647,0.386
Gaia DR2 1425236724824667520,7.678,0.401
Gaia DR2 1436271354802097792,7.9,0.519
Gaia DR2 1441623777405642368,7.932,0.537
Gaia DR2 1447925976193082368,7.709,0.413
Gaia DR2 1455070083058636672,7.91,0.525
Gaia DR2 1465871650930738048,7.641,0.382
Gaia DR2 1485449383176277248,7.799,0.462
Gaia DR2 1488528982101264000,7.434,0.29600000000000004
Gaia DR2 1514641897929708800,7.969,0.5589999999999999
Gaia DR2 1523861990123367808,7.79,0.45799999999999996
Gaia DR2 1524205557443256192,7.792,0.45899999999999996
Gaia DR2 1527224404056238848,7.874,0.503
Gaia DR2 1534049549469960192,7.859,0.494
Gaia DR2 1540651193376855680,7.93,0.536
Gaia DR2 1581002544266699392,8.141,0.6679999999999999
Gaia DR2 1599832161929255424,7.825,0.47600000000000003
Gaia DR2 1604224470364124416,7.943,0.5429999999999999
Gaia DR2 1626445600362602240,7.839,0.484
Gaia DR2 162653160663515008,7.469,0.307
Gaia DR2 1633045217045425024,7.998,0.5760000000000001
Gaia DR2 1637873992939567104,7.848,0.489
Gaia DR2 1640907889118460672,7.853,0.49200000000000005
Gaia DR2 1669596724467221632,7.853,0.491
Gaia DR2 1687105489362392320,7.789,0.45799999999999996
Gaia DR2 1722236328978172928,7.91,0.524
Gaia DR2 1728388195320169088,7.876,0.504
Gaia DR2 1728659637252670464,7.889,0.512
Gaia DR2 1728862806385820160,7.505,0.32299999999999995
Gaia DR2 1752332878514388736,7.775,0.45
Gaia DR2 1760134536282476160,7.711,0.41600000000000004
Gaia DR2 1779661377461146752,7.825,0.475
Gaia DR2 1793120808535107072,7.923,0.532
Gaia DR2 1798237802506593792,7.915,0.528
Gaia DR2 1831618524556441216,7.843,0.486
Gaia DR2 1832115027081314304,7.67,0.395
Gaia DR2 1843026679248455936,7.879,0.506
Gaia DR2 1843669279369093888,6.866,0.134
Gaia DR2 1856123481943041152,7.712,0.419
Gaia DR2 1864482068120988288,7.881,0.507
Gaia DR2 1872737308797397504,7.848,0.488
Gaia DR2 1876069099605221760,7.595,0.361
Gaia DR2 1892992267183979776,7.763,0.44299999999999995
Gaia DR2 1907427720985244928,6.958,0.157
Gaia DR2 1911737707783452800,7.461,0.307
Gaia DR2 1921344205298938112,6.999,0.163
Gaia DR2 1936315366080098432,8.113,0.649
Gaia DR2 1943808361726077568,7.68,0.401
Gaia DR2 1950918014363291136,7.828,0.479
Gaia DR2 1957931313707446016,7.833,0.479
Gaia DR2 1959267323413510016,7.988,0.57
Gaia DR2 1964204268062834176,8.078,0.627
Gaia DR2 1977906588137089024,7.864,0.498
Gaia DR2 1987485327270965120,7.841,0.486
Gaia DR2 1999564768169857792,7.93,0.536
Gaia DR2 2006217676803960960,7.728,0.425
Gaia DR2 2014749990114568320,7.791,0.45799999999999996
Gaia DR2 202160640293063680,7.752,0.43700000000000006
Gaia DR2 2026198517543343104,7.803,0.465
Gaia DR2 2046623492174944640,7.053,0.18
Gaia DR2 2047102054631445504,7.418,0.29
Gaia DR2 2047183177953399296,7.875,0.504
Gaia DR2 20484382662003968,7.759,0.441
Gaia DR2 2052141215187527168,7.989,0.5720000000000001
Gaia DR2 2064284054100290048,7.825,0.47600000000000003
Gaia DR2 2076379261824157312,7.08,0.184
Gaia DR2 2095961155897487872,7.717,0.42100000000000004
Gaia DR2 2103645230346699776,7.786,0.45399999999999996
Gaia DR2 2111818759265059328,7.85,0.49
Gaia DR2 212906962000064768,7.831,0.48
Gaia DR2 2146645790077864704,7.929,0.535
Gaia DR2 2149331587745863680,7.133,0.2
Gaia DR2 2150591795574568192,8.043,0.604
Gaia DR2 2150591799870095872,7.85,0.49
Gaia DR2 2172420060626469248,7.657,0.39
Gaia DR2 2175037104466620416,6.989,0.161
Gaia DR2 2176535223402463872,7.918,0.528
Gaia DR2 2196916453835351680,7.549,0.34
Gaia DR2 2208530698238308736,7.91,0.524
Gaia DR2 2241695439264955264,7.866,0.499
